Gene_set,Term,Overlap,P_value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds_Ratio,Combined_Score,Genes,Database
GO_Biological_Process_2021,positive regulation of cell aging (GO:0090343),1/13,0.0084195467572216,0.0519159857944098,0,0,138.71527777777777,662.6705253310397,LMNA,GO_Biological_Process
GO_Biological_Process_2021,glucose import (GO:0046323),1/13,0.0084195467572216,0.0519159857944098,0,0,138.71527777777777,662.6705253310397,SLC2A1,GO_Biological_Process
GO_Biological_Process_2021,regulation of cell aging (GO:0090342),1/13,0.0084195467572216,0.0519159857944098,0,0,138.71527777777777,662.6705253310397,LMNA,GO_Biological_Process
GO_Biological_Process_2021,cellular component maintenance (GO:0043954),1/13,0.0084195467572216,0.0519159857944098,0,0,138.71527777777777,662.6705253310397,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,regulation of cell growth (GO:0001558),2/217,0.0084479427671494,0.0519159857944098,0,0,16.720507399577166,79.8208987439826,SMARCA4;EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,synaptic membrane adhesion (GO:0099560),1/14,0.0090644890278939,0.0519159857944098,0,0,128.03846153846155,602.2149225510485,PTPRF,GO_Biological_Process
GO_Biological_Process_2021,regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901836),1/14,0.0090644890278939,0.0519159857944098,0,0,128.03846153846155,602.2149225510485,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,negative regulation of androgen receptor signaling pathway (GO:0060766),1/15,0.0097090442156726,0.0519159857944098,0,0,118.88690476190476,551.0048324972125,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,negative regulation of type I interferon-mediated signaling pathway (GO:0060339),1/16,0.0103532125188836,0.0519159857944098,0,0,110.95555555555556,507.11775303850175,STAT2,GO_Biological_Process
GO_Biological_Process_2021,positive regulation by host of viral transcription (GO:0043923),1/16,0.0103532125188836,0.0519159857944098,0,0,110.95555555555556,507.11775303850175,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,regulation of cellular response to growth factor stimulus (GO:0090287),1/17,0.0109969941425308,0.0519159857944098,0,0,104.015625,469.12433437564215,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,negative regulation of peptidyl-threonine phosphorylation (GO:0010801),1/17,0.0109969941425308,0.0519159857944098,0,0,104.015625,469.12433437564215,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,negative regulation of Rho protein signal transduction (GO:0035024),1/18,0.011640389286531,0.0519159857944098,0,0,97.8921568627451,435.94063546940737,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,chromatin disassembly (GO:0031498),1/18,0.011640389286531,0.0519159857944098,0,0,97.8921568627451,435.94063546940737,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,nucleosome disassembly (GO:0006337),1/18,0.011640389286531,0.0519159857944098,0,0,97.8921568627451,435.94063546940737,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,phosphatidylinositol acyl-chain remodeling (GO:0036149),1/18,0.011640389286531,0.0519159857944098,0,0,97.8921568627451,435.94063546940737,MBOAT7,GO_Biological_Process
GO_Biological_Process_2021,regulation of presynapse assembly (GO:1905606),1/18,0.011640389286531,0.0519159857944098,0,0,97.8921568627451,435.94063546940737,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,regulation of presynapse organization (GO:0099174),1/18,0.011640389286531,0.0519159857944098,0,0,97.8921568627451,435.94063546940737,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,cellular response to interleukin-7 (GO:0098761),1/19,0.0122833981550328,0.0519159857944098,0,0,92.44907407407408,406.7303181925871,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,regulation of glucose transmembrane transport (GO:0010827),1/19,0.0122833981550328,0.0519159857944098,0,0,92.44907407407408,406.7303181925871,SLC2A1,GO_Biological_Process
GO_Biological_Process_2021,fatty acid transmembrane transport (GO:1902001),1/19,0.0122833981550328,0.0519159857944098,0,0,92.44907407407408,406.7303181925871,SLC2A1,GO_Biological_Process
GO_Biological_Process_2021,cytoplasmic translational initiation (GO:0002183),1/19,0.0122833981550328,0.0519159857944098,0,0,92.44907407407408,406.7303181925871,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,N-glycan processing (GO:0006491),1/19,0.0122833981550328,0.0519159857944098,0,0,92.44907407407408,406.7303181925871,GANAB,GO_Biological_Process
GO_Biological_Process_2021,interleukin-7-mediated signaling pathway (GO:0038111),1/19,0.0122833981550328,0.0519159857944098,0,0,92.44907407407408,406.7303181925871,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,regulation of protein phosphorylation (GO:0001932),2/266,0.0124789542765502,0.0519159857944098,0,0,13.583333333333334,59.54541741446951,STAT2;BRD4,GO_Biological_Process
GO_Biological_Process_2021,protein-containing complex assembly (GO:0065003),2/267,0.0125685363818355,0.0519159857944098,0,0,13.531389365351629,59.2209198576358,SLC2A1;SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,protein-DNA complex disassembly (GO:0032986),1/20,0.0129260209528938,0.0519159857944098,0,0,87.57894736842105,380.8381798737429,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,glucose transmembrane transport (GO:1904659),1/20,0.0129260209528938,0.0519159857944098,0,0,87.57894736842105,380.8381798737429,SLC2A1,GO_Biological_Process
GO_Biological_Process_2021,mesoderm formation (GO:0001707),1/20,0.0129260209528938,0.0519159857944098,0,0,87.57894736842105,380.8381798737429,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of G2/M transition of mitotic cell cycle (GO:0010971),1/20,0.0129260209528938,0.0519159857944098,0,0,87.57894736842105,380.8381798737429,BRD4,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of cell cycle G2/M phase transition (GO:1902751),1/23,0.0148515749863377,0.0559790134100421,0,0,75.625,318.3547328251434,BRD4,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of transcription by RNA polymerase I (GO:0045943),1/23,0.0148515749863377,0.0559790134100421,0,0,75.625,318.3547328251434,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,hexose transmembrane transport (GO:0008645),1/23,0.0148515749863377,0.0559790134100421,0,0,75.625,318.3547328251434,SLC2A1,GO_Biological_Process
GO_Biological_Process_2021,response to nutrient levels (GO:0031667),1/23,0.0148515749863377,0.0559790134100421,0,0,75.625,318.3547328251434,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,regulation of cellular response to transforming growth factor beta stimulus (GO:1903844),1/24,0.0154926555661662,0.0572850872690382,0,0,72.33333333333333,301.441152263015,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,receptor signaling pathway via STAT (GO:0097696),1/25,0.016133351108423,0.0572850872690382,0,0,69.31597222222223,286.05777422638903,STAT2,GO_Biological_Process
GO_Biological_Process_2021,"positive regulation of DNA-templated transcription, elongation (GO:0032786)",1/25,0.016133351108423,0.0572850872690382,0,0,69.31597222222223,286.05777422638903,BRD4,GO_Biological_Process
GO_Biological_Process_2021,regulation of mitochondrial fission (GO:0090140),1/25,0.016133351108423,0.0572850872690382,0,0,69.31597222222223,286.05777422638903,STAT2,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of G1/S transition of mitotic cell cycle (GO:1900087),1/26,0.0167736618234459,0.0584428635592247,0,0,66.54,272.01188501169923,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,regulation of transcription elongation from RNA polymerase II promoter (GO:0034243),1/27,0.0174135879176465,0.0584428635592247,0,0,63.9775641025641,259.14140891073174,BRD4,GO_Biological_Process
GO_Biological_Process_2021,dendritic spine organization (GO:0097061),1/27,0.0174135879176465,0.0584428635592247,0,0,63.9775641025641,259.14140891073174,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of gene silencing by miRNA (GO:2000637),1/27,0.0174135879176465,0.0584428635592247,0,0,63.9775641025641,259.14140891073174,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,protein depolymerization (GO:0051261),1/28,0.0180531296002428,0.0587072885338435,0,0,61.60493827160494,247.30909578576168,WDR1,GO_Biological_Process
GO_Biological_Process_2021,sarcomere organization (GO:0045214),1/28,0.0180531296002428,0.0587072885338435,0,0,61.60493827160494,247.30909578576168,WDR1,GO_Biological_Process
GO_Biological_Process_2021,regulation of actin polymerization or depolymerization (GO:0008064),1/29,0.0186922870807393,0.0587072885338435,0,0,59.40178571428572,236.3979776770167,WDR1,GO_Biological_Process
GO_Biological_Process_2021,beta-catenin-TCF complex assembly (GO:1904837),1/29,0.0186922870807393,0.0587072885338435,0,0,59.40178571428572,236.3979776770167,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,regulation of type I interferon-mediated signaling pathway (GO:0060338),1/30,0.0193310605643026,0.0587072885338435,0,0,57.35057471264368,226.30778348154325,STAT2,GO_Biological_Process
GO_Biological_Process_2021,respiratory tube development (GO:0030323),1/30,0.0193310605643026,0.0587072885338435,0,0,57.35057471264368,226.30778348154325,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,phosphatidylcholine acyl-chain remodeling (GO:0036151),1/30,0.0193310605643026,0.0587072885338435,0,0,57.35057471264368,226.30778348154325,MBOAT7,GO_Biological_Process
GO_Biological_Process_2021,receptor signaling pathway via JAK-STAT (GO:0007259),1/31,0.0199694502608653,0.0587072885338435,0,0,55.43611111111111,216.95208467294643,STAT2,GO_Biological_Process
GO_Biological_Process_2021,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092),1/31,0.0199694502608653,0.0587072885338435,0,0,55.43611111111111,216.95208467294643,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197),1/32,0.0206074563833083,0.0587072885338435,0,0,53.64516129032258,208.25600447555712,WDR1,GO_Biological_Process
GO_Biological_Process_2021,regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),1/32,0.0206074563833083,0.0587072885338435,0,0,53.64516129032258,208.25600447555712,BRD4,GO_Biological_Process
GO_Biological_Process_2021,negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144),1/32,0.0206074563833083,0.0587072885338435,0,0,53.64516129032258,208.25600447555712,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,modulation by host of symbiont process (GO:0051851),1/32,0.0206074563833083,0.0587072885338435,0,0,53.64516129032258,208.25600447555712,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895),1/34,0.0218823187292358,0.0593247093187689,0,0,50.388888888888886,192.59017962885017,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,regulation of transmembrane transport (GO:0034762),1/34,0.0218823187292358,0.0593247093187689,0,0,50.388888888888886,192.59017962885017,SLC2A1,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of cell cycle G1/S phase transition (GO:1902808),1/35,0.0225191753740633,0.0593247093187689,0,0,48.90441176470589,185.51341332613868,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,lung development (GO:0030324),1/35,0.0225191753740633,0.0593247093187689,0,0,48.90441176470589,185.51341332613868,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,respiratory system development (GO:0060541),1/35,0.0225191753740633,0.0593247093187689,0,0,48.90441176470589,185.51341332613868,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,peptidyl-tyrosine dephosphorylation (GO:0035335),1/35,0.0225191753740633,0.0593247093187689,0,0,48.90441176470589,185.51341332613868,PTPRF,GO_Biological_Process
GO_Biological_Process_2021,negative regulation of Ras protein signal transduction (GO:0046580),1/35,0.0225191753740633,0.0593247093187689,0,0,48.90441176470589,185.51341332613868,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,regulation of androgen receptor signaling pathway (GO:0060765),1/36,0.0231556492787795,0.0603524901414997,0,0,47.50476190476191,178.87996472866277,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,negative regulation of innate immune response (GO:0045824),1/38,0.0244274496995066,0.0629971071197804,0,0,44.93243243243244,166.7913365695687,STAT2,GO_Biological_Process
GO_Biological_Process_2021,response to peptide (GO:1901652),1/39,0.0250627766358881,0.0633028894411606,0,0,43.74780701754386,161.27067055781572,STAT2,GO_Biological_Process
GO_Biological_Process_2021,regulation of peptidyl-threonine phosphorylation (GO:0010799),1/39,0.0250627766358881,0.0633028894411606,0,0,43.74780701754386,161.27067055781572,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,carboxylic acid metabolic process (GO:0019752),1/40,0.0256977216686787,0.0642443041716968,0,0,42.623931623931625,156.0612574523752,SLC2A1,GO_Biological_Process
GO_Biological_Process_2021,ATP-dependent chromatin remodeling (GO:0043044),1/42,0.0269664668566584,0.0667351957563768,0,0,40.540650406504064,146.47990317146446,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,lipid modification (GO:0030258),1/43,0.027600267431624,0.066951143769781,0,0,39.573412698412696,142.06577419675818,MBOAT7,GO_Biological_Process
GO_Biological_Process_2021,myofibril assembly (GO:0030239),1/43,0.027600267431624,0.066951143769781,0,0,39.573412698412696,142.06577419675818,WDR1,GO_Biological_Process
GO_Biological_Process_2021,regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893),1/45,0.0288667255850808,0.0693367428269099,0,0,37.770833333333336,133.90008612704145,SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,regulation of synapse assembly (GO:0051963),1/47,0.030131661136783,0.0709832401779984,0,0,36.125,126.5162089708299,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,regulation of cellular metabolic process (GO:0031323),1/47,0.030131661136783,0.0709832401779984,0,0,36.125,126.5162089708299,MBOAT7,GO_Biological_Process
GO_Biological_Process_2021,regulation of mitochondrion organization (GO:0010821),1/48,0.0307635584593973,0.0717816364052604,0,0,35.354609929078016,123.08440365356886,STAT2,GO_Biological_Process
GO_Biological_Process_2021,regulation of cellular protein metabolic process (GO:0032268),1/49,0.0313950757631915,0.0721716872006936,0,0,34.61631944444444,119.81068935137382,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,actin polymerization or depolymerization (GO:0008154),1/50,0.032026213248763,0.0721716872006936,0,0,33.90816326530612,116.6847899929619,WDR1,GO_Biological_Process
GO_Biological_Process_2021,mitotic nuclear membrane organization (GO:0101024),1/51,0.0326569711233982,0.0721716872006936,0,0,33.22833333333333,113.69728633442386,LMNA,GO_Biological_Process
GO_Biological_Process_2021,mitotic nuclear membrane reassembly (GO:0007084),1/51,0.0326569711233982,0.0721716872006936,0,0,33.22833333333333,113.69728633442386,LMNA,GO_Biological_Process
GO_Biological_Process_2021,regulation of protein modification process (GO:0031399),1/51,0.0326569711233982,0.0721716872006936,0,0,33.22833333333333,113.69728633442386,STAT2,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of protein localization to cell periphery (GO:1904377),1/52,0.0332873496068505,0.0721716872006936,0,0,32.57516339869281,110.83952930563026,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of protein localization to plasma membrane (GO:1903078),1/52,0.0332873496068505,0.0721716872006936,0,0,32.57516339869281,110.83952930563026,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,response to peptide hormone (GO:0043434),1/52,0.0332873496068505,0.0721716872006936,0,0,32.57516339869281,110.83952930563026,STAT2,GO_Biological_Process
GO_Biological_Process_2021,IRE1-mediated unfolded protein response (GO:0036498),1/53,0.0339173488988434,0.0724216103670533,0,0,31.947115384615383,108.10356363888964,LMNA,GO_Biological_Process
GO_Biological_Process_2021,nuclear membrane reassembly (GO:0031468),1/54,0.0345469692098807,0.0724216103670533,0,0,31.342767295597483,105.4820602978719,LMNA,GO_Biological_Process
GO_Biological_Process_2021,regulation of gene silencing by RNA (GO:0060966),1/55,0.0351762107497116,0.0724216103670533,0,0,30.760802469135804,102.96825664265003,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,negative regulation of cytokine-mediated signaling pathway (GO:0001960),1/55,0.0351762107497116,0.0724216103670533,0,0,30.760802469135804,102.96825664265003,STAT2,GO_Biological_Process
GO_Biological_Process_2021,glycoprotein metabolic process (GO:0009100),1/55,0.0351762107497116,0.0724216103670533,0,0,30.760802469135804,102.96825664265003,GANAB,GO_Biological_Process
GO_Biological_Process_2021,regulation of posttranscriptional gene silencing (GO:0060147),1/55,0.0351762107497116,0.0724216103670533,0,0,30.760802469135804,102.96825664265003,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,negative regulation of autophagy (GO:0010507),1/59,0.0376893933426092,0.0769491780744938,0,0,28.63362068965517,93.87179112052809,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,apical junction assembly (GO:0043297),1/60,0.038316744140727,0.0775834902022985,0,0,28.146892655367232,91.81145674128096,WDR1,GO_Biological_Process
GO_Biological_Process_2021,double-strand break repair via nonhomologous end joining (GO:0006303),1/62,0.0395703133756882,0.0794649735823247,0,0,27.22131147540984,87.91601919409594,NSD2,GO_Biological_Process
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),1/65,0.0414478394284331,0.0807470830450415,0,0,25.94140625,82.57978498333833,STAT2,GO_Biological_Process
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),1/65,0.0414478394284331,0.0807470830450415,0,0,25.94140625,82.57978498333833,STAT2,GO_Biological_Process
GO_Biological_Process_2021,cellular response to nutrient levels (GO:0031669),1/66,0.0420729281997368,0.0807470830450415,0,0,25.54102564102564,80.9229285312976,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of cell death (GO:0010942),1/66,0.0420729281997368,0.0807470830450415,0,0,25.54102564102564,80.9229285312976,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,cell-cell junction assembly (GO:0007043),1/66,0.0420729281997368,0.0807470830450415,0,0,25.54102564102564,80.9229285312976,WDR1,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of nucleic acid-templated transcription (GO:1903508),2/511,0.0421862311418992,0.0807470830450415,0,0,6.957671012680835,22.025630471341497,BRD4;SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,regulation of gene silencing by miRNA (GO:0060964),1/67,0.0426976406866875,0.0810924183584375,0,0,25.15277777777778,79.3220921121178,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,regulation of translational initiation (GO:0006446),1/68,0.0433219771034119,0.0815663236832231,0,0,24.776119402985078,77.77459794803441,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,negative regulation of cellular catabolic process (GO:0031330),1/69,0.0439459376578998,0.0815663236832231,0,0,24.410539215686278,76.2779330882361,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,cellular response to decreased oxygen levels (GO:0036294),1/69,0.0439459376578998,0.0815663236832231,0,0,24.410539215686278,76.2779330882361,LMNA,GO_Biological_Process
GO_Biological_Process_2021,regulation of G1/S transition of mitotic cell cycle (GO:2000045),1/71,0.0451927319981768,0.0832497694703257,0,0,23.710714285714285,73.42779054088277,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,regulation of Rho protein signal transduction (GO:0035023),1/73,0.04643802536608,0.0845305207511487,0,0,23.04976851851852,70.7544140609547,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,regulation of peptide hormone secretion (GO:0090276),1/74,0.0470601097064945,0.0845305207511487,0,0,22.732876712328768,69.47916318158998,SLC2A1,GO_Biological_Process
GO_Biological_Process_2021,negative regulation of protein binding (GO:0032091),1/74,0.0470601097064945,0.0845305207511487,0,0,22.732876712328768,69.47916318158998,PTPRF,GO_Biological_Process
GO_Biological_Process_2021,actomyosin structure organization (GO:0031032),1/76,0.0483031547149421,0.0845305207511487,0,0,22.12444444444445,67.04278374363157,WDR1,GO_Biological_Process
GO_Biological_Process_2021,regulation of BMP signaling pathway (GO:0030510),1/76,0.0483031547149421,0.0845305207511487,0,0,22.12444444444445,67.04278374363157,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of growth (GO:0045927),1/76,0.0483031547149421,0.0845305207511487,0,0,22.12444444444445,67.04278374363157,EIF4G1,GO_Biological_Process
GO_Biological_Process_2021,water-soluble vitamin metabolic process (GO:0006767),1/76,0.0483031547149421,0.0845305207511487,0,0,22.12444444444445,67.04278374363157,SLC2A1,GO_Biological_Process
GO_Biological_Process_2021,phosphatidylcholine metabolic process (GO:0046470),1/77,0.0489241158050175,0.0850099884555268,0,0,21.832236842105264,65.87844365768125,MBOAT7,GO_Biological_Process
GO_Biological_Process_2021,"regulation of transcription, DNA-templated (GO:0006355)",4/2244,0.0492952360791655,0.0850516397140532,0,0,3.521230158730159,10.598648664178048,STAT2;NSD2;BRD4;SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,negative regulation of cellular process (GO:0048523),2/566,0.0507381253293396,0.085808725421196,0,0,6.261444229529336,18.66585158773062,LMNA;SMARCA4,GO_Biological_Process
GO_Biological_Process_2021,skin development (GO:0043588),1/80,0.0507847558615241,0.085808725421196,0,0,21.0,62.58334006884147,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,regulation of protein localization to plasma membrane (GO:1903076),1/80,0.0507847558615241,0.085808725421196,0,0,21.0,62.58334006884147,ITGA3,GO_Biological_Process
GO_Biological_Process_2021,positive regulation of cytoskeleton organization (GO:0051495),1/82,0.0520233153027185,0.0872993989668906,0,0,20.47942386831276,60.53847309097546,WDR1,GO_Biological_Process
GO_Biological_Process_2021,regulation of defense response (GO:0031347),1/83,0.0526420354551319,0.0877367257585532,0,0,20.228658536585368,59.55803218916631,BRD4,GO_Biological_Process
GO_Biological_Process_2021,vascular transport (GO:0010232),1/84,0.0532603828402292,0.0881675256476767,0,0,19.983935742971887,58.60414077176453,SLC2A1,GO_Biological_Process
GO_Biological_Process_2021,G1/S transition of mitotic cell cycle (GO:0000082),1/85,0.0538783576585865,0.0884205975584603,0,0,19.745039682539684,57.67578236677708,BRD4,GO_Biological_Process
