Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010801)	1/14	9.064489e-03	5.682763e-02	0	0	1.280385e+02	6.022149e+02	EIF4G1
GO_Biological_Process_2023	Negative Regulation Of Androgen Receptor Signaling Pathway (GO:0060766)	1/14	9.064489e-03	5.682763e-02	0	0	1.280385e+02	6.022149e+02	SMARCA4
GO_Biological_Process_2023	Regulation Of Cell Growth (GO:0001558)	2/227	9.212602e-03	5.682763e-02	0	0	1.596929e+01	7.485100e+01	SMARCA4;EIF4G1
GO_Biological_Process_2023	Renal Filtration (GO:0097205)	1/15	9.709044e-03	5.682763e-02	0	0	1.188869e+02	5.510048e+02	ITGA3
GO_Biological_Process_2023	Regulation Of miRNA-mediated Gene Silencing (GO:0060964)	1/15	9.709044e-03	5.682763e-02	0	0	1.188869e+02	5.510048e+02	EIF4G1
GO_Biological_Process_2023	Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339)	1/15	9.709044e-03	5.682763e-02	0	0	1.188869e+02	5.510048e+02	STAT2
GO_Biological_Process_2023	Regulation Of Presynapse Assembly (GO:1905606)	1/16	1.035321e-02	5.682763e-02	0	0	1.109556e+02	5.071178e+02	EIF4G1
GO_Biological_Process_2023	Regulation Of Presynapse Organization (GO:0099174)	1/16	1.035321e-02	5.682763e-02	0	0	1.109556e+02	5.071178e+02	EIF4G1
GO_Biological_Process_2023	Positive Regulation By Host Of Viral Transcription (GO:0043923)	1/16	1.035321e-02	5.682763e-02	0	0	1.109556e+02	5.071178e+02	SMARCA4
GO_Biological_Process_2023	Nuclear Migration (GO:0007097)	1/16	1.035321e-02	5.682763e-02	0	0	1.109556e+02	5.071178e+02	LMNA
GO_Biological_Process_2023	Negative Regulation Of Rho Protein Signal Transduction (GO:0035024)	1/17	1.099699e-02	5.779271e-02	0	0	1.040156e+02	4.691243e+02	ITGA3
GO_Biological_Process_2023	Nuclear Envelope Organization (GO:0006998)	1/17	1.099699e-02	5.779271e-02	0	0	1.040156e+02	4.691243e+02	LMNA
GO_Biological_Process_2023	Nucleosome Disassembly (GO:0006337)	1/18	1.164039e-02	5.834614e-02	0	0	9.789216e+01	4.359406e+02	SMARCA4
