ProbeID,log2FC,FDR
AFFX-BioB-5_at,-0.6003366666666663,0.05451033717578313
AFFX-BioB-M_at,-0.6710389999999986,0.0622799086561976
AFFX-BioB-3_at,-0.710651333333332,0.02489143469416263
AFFX-BioC-5_at,-0.503427666666667,0.033358383925764644
AFFX-BioC-3_at,-0.5283523333333342,0.03740479553857334
AFFX-BioDn-5_at,-0.46906666666666474,0.03333242534966318
AFFX-BioDn-3_at,-0.3311700000000002,0.06605393548197944
AFFX-CreX-5_at,-0.28814999999999813,0.06972283670321225
AFFX-CreX-3_at,-0.2723399999999998,0.061285438049610626
AFFX-DapX-5_at,-0.5877149999999993,0.07372299125100326
AFFX-DapX-M_at,-0.5046710000000019,0.06317428221188169
AFFX-DapX-3_at,-0.463338666666667,0.06733618334516522
AFFX-LysX-5_at,-1.0153353333333337,0.021594063759498214
AFFX-LysX-M_at,-0.49264999999999937,0.06096837581663433
AFFX-LysX-3_at,-0.579806333333333,0.10784394744790543
AFFX-PheX-5_at,-0.934098333333333,0.04213069460940083
AFFX-PheX-M_at,-0.8638946666666669,0.06288239619435525
AFFX-PheX-3_at,-0.6304563333333322,0.1291043518958904
AFFX-ThrX-5_at,-0.5187333333333353,0.14781417006013647
AFFX-ThrX-M_at,-0.6557809999999984,0.07620933218556347
AFFX-ThrX-3_at,-0.5399466666666646,0.11975468735792281
AFFX-TrpnX-5_at,0.03387766666666625,0.7061822278541414
AFFX-TrpnX-M_at,-0.09285833333333349,0.42043345239745233
AFFX-TrpnX-3_at,0.005908333333333182,0.9731693243550691
AFFX-r2-Ec-bioB-5_at,-0.5839413333333319,0.03998837767872175
AFFX-r2-Ec-bioB-M_at,-0.30970133333333294,0.0931267569239877
AFFX-r2-Ec-bioB-3_at,-0.2596830000000008,0.07601424364162077
AFFX-r2-Ec-bioC-5_at,-0.3027473333333326,0.06823788277163893
AFFX-r2-Ec-bioC-3_at,-0.12534833333333495,0.15673147040155333
AFFX-r2-Ec-bioD-5_at,-0.027930000000001343,0.7520816774972559
AFFX-r2-Ec-bioD-3_at,-0.1649233333333342,0.135825552129307
AFFX-r2-P1-cre-5_at,-0.09423999999999921,0.1570152377288133
AFFX-r2-P1-cre-3_at,-0.10912666666666304,0.13031411634363468
AFFX-r2-Bs-dap-5_at,-0.604084666666667,0.18693799534840008
AFFX-r2-Bs-dap-M_at,-0.5539423333333335,0.051907382805027324
AFFX-r2-Bs-dap-3_at,-0.5742069999999995,0.060562977707914405
AFFX-r2-Bs-lys-5_at,-1.1123849999999997,0.03240526054905732
AFFX-r2-Bs-lys-M_at,-1.0055709999999998,0.05423541778587992
AFFX-r2-Bs-lys-3_at,-0.8465673333333328,0.03377131560671128
AFFX-r2-Bs-phe-5_at,-1.2802669999999994,0.06383361580479964
AFFX-r2-Bs-phe-M_at,-0.8797733333333353,0.05099159993080079
AFFX-r2-Bs-phe-3_at,-0.8825633333333336,0.041777586923151123
AFFX-r2-Bs-thr-5_s_at,-0.5706746666666662,0.11425172492384145
AFFX-r2-Bs-thr-M_s_at,-0.476220999999998,0.19176199650702375
AFFX-r2-Bs-thr-3_s_at,-0.44556566666666697,0.0973165181636293
AFFX-HUMISGF3A/M97935_5_at,0.7383829999999998,0.0287141748517408
AFFX-HUMISGF3A/M97935_MA_at,0.27563099999999885,0.17133062759104303
AFFX-HUMISGF3A/M97935_MB_at,0.08669200000000288,0.1853807332179197
AFFX-HUMISGF3A/M97935_3_at,0.038883333333332715,0.6114101426208939
AFFX-HUMRGE/M10098_5_at,0.5094633333333327,0.07789715399316939
AFFX-HUMRGE/M10098_M_at,0.48296333333333585,0.0553533296568407
AFFX-HUMRGE/M10098_3_at,0.6549866666666624,0.061204717679296056
AFFX-HUMGAPDH/M33197_5_at,0.2969399999999993,0.04926387949024386
AFFX-HUMGAPDH/M33197_M_at,0.178723333333334,0.011625898771088961
AFFX-HUMGAPDH/M33197_3_at,0.037990000000000634,0.2510382573420549
AFFX-HSAC07/X00351_5_at,0.9705233333333361,0.02168882934763234
AFFX-HSAC07/X00351_M_at,0.6455266666666652,0.023639910635001624
AFFX-HSAC07/X00351_3_at,0.10271333333333388,0.0837200667048796
AFFX-M27830_5_at,0.20122999999999713,0.08158435692691382
AFFX-M27830_M_at,-0.41660333333333455,0.026389553170072418
AFFX-M27830_3_at,-0.07204433333333249,0.763761593052739
AFFX-hum_alu_at,0.1167100000000012,0.027098075447889888
AFFX-r2-TagA_at,-0.06852433333333341,0.5719915431528066
AFFX-r2-TagB_at,-0.06368966666666598,0.5951152347908114
AFFX-r2-TagC_at,0.32955833333333295,0.12844719284228212
AFFX-r2-TagD_at,0.011546000000000056,0.9547193134282045
AFFX-r2-TagE_at,-0.08952799999999961,0.6589903068354854
AFFX-r2-TagF_at,-0.016525000000000123,0.9264196625604445
AFFX-r2-TagG_at,0.053721666666666223,0.6202399922430215
AFFX-r2-TagH_at,0.16108433333333227,0.6662568503507725
AFFX-r2-TagJ-3_at,-0.06535533333333321,0.6915696397229045
AFFX-r2-TagJ-5_at,-0.07514466666666664,0.5335246313424937
AFFX-r2-TagO-3_at,0.29716600000000026,0.295288048338735
AFFX-r2-TagO-5_at,-0.026075333333333006,0.8477715908704694
AFFX-r2-TagQ-3_at,0.18057766666666675,0.35639026210016694
AFFX-r2-TagQ-5_at,0.18806333333333303,0.38153489413534547
AFFX-r2-TagIN-3_at,0.24722733333333347,0.1522707107847735
AFFX-r2-TagIN-M_at,-0.018568999999999836,0.8721024033176545
AFFX-r2-TagIN-5_at,0.2844673333333332,0.2441890402247467
200000_PM_s_at,0.5774523333333335,0.02461866548415886
200001_PM_at,0.2502146666666647,0.13726909612074642
200002_PM_at,-0.07897333333333201,0.07493125164888786
200003_PM_s_at,0.044270000000002696,0.17960180633649475
200004_PM_at,-0.12930999999999848,0.038304719190724
200005_PM_at,0.2891066666666635,0.034337022474178434
200006_PM_at,-0.23229999999999862,0.12597533546391884
200007_PM_at,-0.1737666666666673,0.027887452087759067
200008_PM_s_at,0.23721866666666713,0.14200096962501788
200009_PM_at,-0.07074333333333271,0.19737194758204563
200010_PM_at,-0.06748666666666736,0.2008310466189655
200011_PM_s_at,0.4061400000000015,0.010607306409165624
200012_PM_x_at,-0.1243333333333343,0.04969713723163974
200013_PM_at,-0.12776333333333412,0.14903066350438482
200014_PM_s_at,-0.13319999999999865,0.12391584188873107
200015_PM_s_at,-0.008666666666664824,0.955361979031514
200016_PM_x_at,0.1122299999999985,0.0433722270505055
200017_PM_at,-0.3127566666666688,0.03712963400980069
200018_PM_at,-0.12050333333333185,0.25533582796545334
200019_PM_s_at,-0.09084666666666585,0.1603307456804373
200020_PM_at,-0.014123333333333932,0.885832543708668
200021_PM_at,0.18413666666666728,0.04213069460940083
200022_PM_at,-0.07893666666666554,0.2515267004344169
200023_PM_s_at,0.20097666666666747,0.05683700268530319
200024_PM_at,0.006103333333333794,0.795175262982285
200025_PM_s_at,-0.18523000000000067,0.027133400620465056
200026_PM_at,-0.18015333333333494,0.042004415938554314
200027_PM_at,-0.1333599999999997,0.14714363962206314
200028_PM_s_at,0.2981173333333338,0.07155288542357308
200029_PM_at,0.08686666666666554,0.022760329238247345
200030_PM_s_at,0.14451999999999998,0.16198120177032038
200031_PM_s_at,0.009830000000000894,0.8002732341320202
200032_PM_s_at,-0.0729299999999995,0.160795810886719
200033_PM_at,-0.01754666666666793,0.7135679130469563
200034_PM_s_at,-0.1583199999999998,0.02498912903237917
200035_PM_at,0.20413700000000112,0.10561430996885668
200036_PM_s_at,0.03478666666666719,0.6574548656768243
200037_PM_s_at,-0.21739333333333732,0.036226513900727286
200038_PM_s_at,-0.046593333333332154,0.08906209114841575
200039_PM_s_at,0.1947600000000005,0.04329072628088778
200040_PM_at,0.13318399999999997,0.4070582479848522
200041_PM_s_at,0.04674666666666738,0.28770131323517545
200042_PM_at,-0.09725133333333247,0.1483367337775684
200043_PM_at,-0.16346666666666643,0.1260463194636644
200044_PM_at,0.0009233333333327209,0.9895149206180229
200045_PM_at,-0.03496733333333246,0.7320172273931459
200046_PM_at,-0.1760233333333332,0.17192891942351846
200047_PM_s_at,-0.08800333333333477,0.40215258615270805
200048_PM_s_at,-0.1119466666666682,0.09826383413690196
200049_PM_at,0.32359399999999994,0.10561340360424223
200050_PM_at,-0.251065999999998,0.11872599375425316
200051_PM_at,0.5942826666666665,0.020860944829097682
200052_PM_s_at,0.07892999999999972,0.37874434921294564
200053_PM_at,-0.0993909999999989,0.3861704128587944
200054_PM_at,-0.07174366666666643,0.07946128444067069
200055_PM_at,0.004783333333334028,0.8824062757037833
200056_PM_s_at,-0.5191093333333328,0.08753420667888649
200057_PM_s_at,0.2995133333333353,0.1190268873747042
200058_PM_s_at,0.25399366666666623,0.08200273926376475
200059_PM_s_at,0.29939333333333273,0.046983474760923426
200060_PM_s_at,0.1772896666666668,0.19176199650702375
200061_PM_s_at,-0.02261000000000024,0.7923962323717029
200062_PM_s_at,-0.06939000000000206,0.08640070725880661
200063_PM_s_at,-0.05771333333333217,0.3767302063627185
200064_PM_at,0.32077666666666715,0.03712963400980069
200065_PM_s_at,0.29716333333333367,0.052387125909415216
200066_PM_at,0.061855000000001326,0.2557655890845022
200067_PM_x_at,-0.28889999999999816,0.08837938329673901
200068_PM_s_at,0.2729500000000016,0.09844015631057579
200069_PM_at,-0.1874280000000006,0.10181307225418008
200070_PM_at,0.06901266666666572,0.4068176902784394
200071_PM_at,-0.12248533333333533,0.14518290591865407
200072_PM_s_at,0.43843133333333384,0.03861348664440339
200073_PM_s_at,0.20817666666666668,0.0555141100125446
200074_PM_s_at,-0.0771566666666672,0.15830558837086103
200075_PM_s_at,-0.18159666666666752,0.19956593776850115
200076_PM_s_at,0.08919599999999939,0.330727213690307
200077_PM_s_at,0.013749999999999929,0.779831686622164
200078_PM_s_at,-0.13928666666666878,0.046235727545957415
200079_PM_s_at,0.010703333333335507,0.8499306184531255
200080_PM_s_at,-0.1424466666666664,0.07330166366526233
200081_PM_s_at,0.03852666666666771,0.4353877618976017
200082_PM_s_at,-0.0996066666666664,0.1004908524238341
200083_PM_at,1.0630840000000017,0.03874753780629163
200084_PM_at,-0.12760333333333485,0.18191470919094138
200085_PM_s_at,-0.06632333333333307,0.2887769759393902
200086_PM_s_at,-0.11733999999999867,0.2112751075910979
200087_PM_s_at,-0.04741999999999891,0.5650144125278581
200088_PM_x_at,-0.0834199999999985,0.12003653990168384
200089_PM_s_at,-0.020469999999999544,0.5297956295930832
200090_PM_at,-0.20320999999999856,0.011625898771088961
200091_PM_s_at,-0.3524933333333333,0.04803217283048932
200092_PM_s_at,-0.1367033333333314,0.06558025042959098
200093_PM_s_at,-0.20204999999999984,0.20902926103617128
200094_PM_s_at,0.5470633333333339,0.009315875226946393
200095_PM_x_at,-0.11136333333333326,0.09328483774303682
200096_PM_s_at,-0.1018733333333337,0.1494764861442181
200097_PM_s_at,0.13689000000000107,0.29354451439436036
200098_PM_s_at,-0.08696666666666886,0.05099855183464061
200099_PM_s_at,-0.04694000000000287,0.4092501236127241
11715100_at,-0.057562666666667095,0.829641207381644
11715101_s_at,-0.24934666666666683,0.17179528072346012
11715102_x_at,-0.16667066666666663,0.4613270581818307
11715103_x_at,0.5165813333333338,0.0966956310271593
11715104_s_at,-0.05359666666666563,0.5976672936723324
11715105_at,-0.16131899999999977,0.38444591873782574
11715106_x_at,0.12456800000000001,0.15097785718632856
11715107_s_at,0.315325333333333,0.15242077500881687
11715108_x_at,0.3536166666666669,0.18055524929608982
11715109_at,0.13006966666666697,0.39143849128113545
11715110_at,-0.13919033333333264,0.3123726112612134
11715111_s_at,0.13908166666666677,0.635591880263821
11715112_at,-0.0029453333333329113,0.9874226266668865
11715113_x_at,0.4125776666666665,0.034813978631574344
11715114_x_at,0.46865300000000154,0.03134483925446373
11715115_s_at,0.05898233333333325,0.7880651996241224
11715116_s_at,-0.4294986666666665,0.16004013164216235
11715117_x_at,-0.06284499999999982,0.7587726624954283
11715118_s_at,-0.1486463333333332,0.3961645370358075
11715119_s_at,0.10550366666666688,0.5480122823327743
11715120_s_at,-0.4069866666666666,0.0833850853725442
11715121_s_at,-0.2019203333333337,0.38736408197915456
11715122_at,0.2622956666666676,0.387113398854126
11715123_s_at,0.023780333333333736,0.8331914741054907
11715124_s_at,0.14361700000000077,0.44186499992836753
11715125_at,0.009179999999998856,0.9561575115754204
11715126_s_at,0.47328800000000015,0.11195258987869278
11715127_s_at,-0.09995333333333312,0.8357300486716709
11715128_s_at,-0.26849966666666525,0.2146162168846145
11715129_s_at,0.04595199999999977,0.5724713472328445
11715130_s_at,0.001891333333333023,0.9806885418532693
11715131_s_at,-0.13040966666666653,0.37415481279359564
11715132_x_at,0.03369966666666646,0.8459546979224061
11715133_s_at,-0.06838066666666665,0.3321099183109671
11715134_s_at,-0.004411333333333545,0.9718915248203692
11715135_s_at,-0.18757266666666705,0.08908763960861014
11715136_at,0.025857666666667,0.9340289386139902
11715137_s_at,-0.05525000000000002,0.672713810114613
11715138_s_at,-0.0524369999999994,0.6613941924053321
11715139_x_at,-0.34912233333333353,0.06684625195513721
11715140_s_at,0.08567466666666679,0.57177884037703
11715141_s_at,-0.20788966666666742,0.27958642789418064
11715142_s_at,0.14072966666666709,0.3341197617925809
11715143_s_at,-0.05323499999999992,0.8181205723831958
11715144_s_at,0.1220529999999993,0.5906968471103482
11715145_s_at,0.4086080000000001,0.11236884896023698
11715146_x_at,-0.10913933333333237,0.14590275537235653
11715147_at,-0.07517333333333287,0.7571936054074127
11715148_s_at,-0.09371566666666675,0.3611253708104321
