Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338),1/33,0.0212450791356283,0.0634733725216365,0,0,51.966145833333336,200.1543652635479,STAT2
GO_Biological_Process_2023,Regulation Of G0 To G1 Transition (GO:0070316),1/33,0.0212450791356283,0.0634733725216365,0,0,51.966145833333336,200.1543652635479,SMARCA4
GO_Biological_Process_2023,Lung Development (GO:0030324),1/33,0.0212450791356283,0.0634733725216365,0,0,51.966145833333336,200.1543652635479,ITGA3
GO_Biological_Process_2023,Transcription Initiation-Coupled Chromatin Remodeling (GO:0045815),1/34,0.0218823187292358,0.0634733725216365,0,0,50.388888888888886,192.59017962885017,SMARCA4
GO_Biological_Process_2023,Negative Regulation Of Ras Protein Signal Transduction (GO:0046580),1/34,0.0218823187292358,0.0634733725216365,0,0,50.388888888888886,192.59017962885017,ITGA3
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase I (GO:0045943),1/34,0.0218823187292358,0.0634733725216365,0,0,50.388888888888886,192.59017962885017,SMARCA4
GO_Biological_Process_2023,Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389),1/35,0.0225191753740633,0.0634733725216365,0,0,48.90441176470589,185.51341332613868,BRD4
GO_Biological_Process_2023,Response To Nutrient Levels (GO:0031667),1/35,0.0225191753740633,0.0634733725216365,0,0,48.90441176470589,185.51341332613868,EIF4G1
GO_Biological_Process_2023,Receptor Signaling Pathway Via JAK-STAT (GO:0007259),1/36,0.0231556492787795,0.0634733725216365,0,0,47.50476190476191,178.87996472866277,STAT2
GO_Biological_Process_2023,Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),1/36,0.0231556492787795,0.0634733725216365,0,0,47.50476190476191,178.87996472866277,EIF4G1
GO_Biological_Process_2023,Type I Interferon-Mediated Signaling Pathway (GO:0060337),1/37,0.0237917406507484,0.0634733725216365,0,0,46.18287037037037,172.65081800368927,STAT2
GO_Biological_Process_2023,Positive Regulation Of Myoblast Differentiation (GO:0045663),1/38,0.0244274496995066,0.0634733725216365,0,0,44.93243243243244,166.7913365695687,SMARCA4
GO_Biological_Process_2023,Cellular Response To Type I Interferon (GO:0071357),1/38,0.0244274496995066,0.0634733725216365,0,0,44.93243243243244,166.7913365695687,STAT2
GO_Biological_Process_2023,Response To Peptide (GO:1901652),1/38,0.0244274496995066,0.0634733725216365,0,0,44.93243243243244,166.7913365695687,STAT2
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Differentiation (GO:0045621),1/39,0.0250627766358881,0.0634733725216365,0,0,43.74780701754386,161.27067055781572,SMARCA4
GO_Biological_Process_2023,Heterochromatin Organization (GO:0070828),1/39,0.0250627766358881,0.0634733725216365,0,0,43.74780701754386,161.27067055781572,LMNA
GO_Biological_Process_2023,Vitamin Transport (GO:0051180),1/39,0.0250627766358881,0.0634733725216365,0,0,43.74780701754386,161.27067055781572,SLC2A1
GO_Biological_Process_2023,Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197),1/40,0.0256977216686787,0.0634733725216365,0,0,42.623931623931625,156.0612574523752,WDR1
GO_Biological_Process_2023,Water-Soluble Vitamin Metabolic Process (GO:0006767),1/40,0.0256977216686787,0.0634733725216365,0,0,42.623931623931625,156.0612574523752,SLC2A1
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle G1/S Phase Transition (GO:1902808),1/40,0.0256977216686787,0.0634733725216365,0,0,42.623931623931625,156.0612574523752,EIF4G1
GO_Biological_Process_2023,Positive Regulation Of Stem Cell Population Maintenance (GO:1902459),1/40,0.0256977216686787,0.0634733725216365,0,0,42.623931623931625,156.0612574523752,SMARCA4
GO_Biological_Process_2023,Modulation By Host Of Symbiont Process (GO:0051851),1/42,0.0269664668566584,0.0653011501332806,0,0,40.540650406504064,146.47990317146446,SMARCA4
GO_Biological_Process_2023,Lipid Modification (GO:0030258),1/42,0.0269664668566584,0.0653011501332806,0,0,40.540650406504064,146.47990317146446,MBOAT7
GO_Biological_Process_2023,Positive Regulation Of miRNA Transcription (GO:1902895),1/43,0.027600267431624,0.0661870490836032,0,0,39.573412698412696,142.06577419675818,SMARCA4
GO_Biological_Process_2023,Nucleus Organization (GO:0006997),1/44,0.0282336869398409,0.0670550064821221,0,0,38.65116279069768,137.87795237211324,LMNA
GO_Biological_Process_2023,Regulation Of Cellular Metabolic Process (GO:0031323),1/45,0.0288667255850808,0.0672649171652356,0,0,37.770833333333336,133.90008612704145,MBOAT7
GO_Biological_Process_2023,Regulation Of Protein Modification Process (GO:0031399),1/45,0.0288667255850808,0.0672649171652356,0,0,37.770833333333336,133.90008612704145,STAT2
GO_Biological_Process_2023,Myofibril Assembly (GO:0030239),1/46,0.0294993835815373,0.0680967078938291,0,0,36.92962962962963,130.1173367501014,WDR1
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),4/1922,0.029959481930336,0.0682800027594991,0,0,4.18700034758429,14.687617929546784,STAT2;NSD2;BRD4;SMARCA4
GO_Biological_Process_2023,Regulation Of T Cell Differentiation (GO:0045580),1/47,0.030131661136783,0.0682800027594991,0,0,36.125,126.5162089708299,SMARCA4
GO_Biological_Process_2023,Positive Regulation Of miRNA Metabolic Process (GO:2000630),1/49,0.0313950757631915,0.0683582361650793,0,0,34.61631944444444,119.81068935137382,SMARCA4
GO_Biological_Process_2023,Interferon-Mediated Signaling Pathway (GO:0140888),1/49,0.0313950757631915,0.0683582361650793,0,0,34.61631944444444,119.81068935137382,STAT2
GO_Biological_Process_2023,Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071),1/49,0.0313950757631915,0.0683582361650793,0,0,34.61631944444444,119.81068935137382,SMARCA4
GO_Biological_Process_2023,Regulation Of Mitochondrion Organization (GO:0010821),1/50,0.032026213248763,0.0683582361650793,0,0,33.90816326530612,116.6847899929619,STAT2
GO_Biological_Process_2023,Positive Regulation Of Cell Death (GO:0010942),1/50,0.032026213248763,0.0683582361650793,0,0,33.90816326530612,116.6847899929619,EIF4G1
GO_Biological_Process_2023,"Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)",1/51,0.0326569711233982,0.0683582361650793,0,0,33.22833333333333,113.69728633442386,LMNA
GO_Biological_Process_2023,Regulation Of Synapse Assembly (GO:0051963),1/51,0.0326569711233982,0.0683582361650793,0,0,33.22833333333333,113.69728633442386,EIF4G1
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377),1/51,0.0326569711233982,0.0683582361650793,0,0,33.22833333333333,113.69728633442386,ITGA3
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Plasma Membrane (GO:1903078),1/51,0.0326569711233982,0.0683582361650793,0,0,33.22833333333333,113.69728633442386,ITGA3
GO_Biological_Process_2023,Negative Regulation Of Innate Immune Response (GO:0045824),1/52,0.0332873496068505,0.0688153338293592,0,0,32.57516339869281,110.83952930563026,STAT2
GO_Biological_Process_2023,Glycoprotein Metabolic Process (GO:0009100),1/53,0.0339173488988434,0.0688153338293592,0,0,31.947115384615383,108.10356363888964,GANAB
GO_Biological_Process_2023,Actin Polymerization Or Depolymerization (GO:0008154),1/53,0.0339173488988434,0.0688153338293592,0,0,31.947115384615383,108.10356363888964,WDR1
GO_Biological_Process_2023,Regulation Of Lipid Metabolic Process (GO:0019216),1/54,0.0345469692098807,0.0688153338293592,0,0,31.342767295597483,105.4820602978719,MBOAT7
GO_Biological_Process_2023,Apical Junction Assembly (GO:0043297),1/54,0.0345469692098807,0.0688153338293592,0,0,31.342767295597483,105.4820602978719,WDR1
GO_Biological_Process_2023,Regulation Of Myoblast Differentiation (GO:0045661),1/54,0.0345469692098807,0.0688153338293592,0,0,31.342767295597483,105.4820602978719,SMARCA4
GO_Biological_Process_2023,Phosphatidylcholine Metabolic Process (GO:0046470),1/55,0.0351762107497116,0.0695081924414301,0,0,30.760802469135804,102.96825664265003,MBOAT7
GO_Biological_Process_2023,Regulation Of Stem Cell Population Maintenance (GO:2000036),1/56,0.0358050737240217,0.0696366394475069,0,0,30.2,100.5559032787779,SMARCA4
GO_Biological_Process_2023,"Positive Regulation Of DNA-templated Transcription, Elongation (GO:0032786)",1/56,0.0358050737240217,0.0696366394475069,0,0,30.2,100.5559032787779,BRD4
GO_Biological_Process_2023,Regulation Of Neuron Death (GO:1901214),1/58,0.0370616648121668,0.0710632072948433,0,0,29.1374269005848,96.0128372683442,EIF4G1
GO_Biological_Process_2023,Regulation Of miRNA Transcription (GO:1902893),1/59,0.0376893933426092,0.0710632072948433,0,0,28.63362068965517,93.87179112052809,SMARCA4
GO_Biological_Process_2023,Regulation Of Cell Death (GO:0010941),1/59,0.0376893933426092,0.0710632072948433,0,0,28.63362068965517,93.87179112052809,EIF4G1
GO_Biological_Process_2023,Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960),1/59,0.0376893933426092,0.0710632072948433,0,0,28.63362068965517,93.87179112052809,STAT2
GO_Biological_Process_2023,Negative Regulation Of Autophagy (GO:0010507),1/61,0.0389437174197565,0.0728719560809081,0,0,27.676388888888887,89.82753445091376,EIF4G1
GO_Biological_Process_2023,G1/S Transition Of Mitotic Cell Cycle (GO:0000082),1/63,0.040196532223731,0.074093607904937,0,0,26.780913978494624,86.07317595715509,BRD4
GO_Biological_Process_2023,Phosphatidylinositol Metabolic Process (GO:0046488),1/63,0.040196532223731,0.074093607904937,0,0,26.780913978494624,86.07317595715509,MBOAT7
GO_Biological_Process_2023,Positive Regulation Of T Cell Differentiation (GO:0045582),1/64,0.040822374174892,0.0741406354499877,0,0,26.354497354497354,84.29551762933323,SMARCA4
GO_Biological_Process_2023,Negative Regulation Of Cell Death (GO:0060548),1/64,0.040822374174892,0.0741406354499877,0,0,26.354497354497354,84.29551762933323,EIF4G1
GO_Biological_Process_2023,Regulation Of Translational Initiation (GO:0006446),1/65,0.0414478394284331,0.0747271265607517,0,0,25.94140625,82.57978498333833,EIF4G1
GO_Biological_Process_2023,Negative Regulation Of Cellular Catabolic Process (GO:0031330),1/67,0.0426976406866875,0.0761568932124484,0,0,25.15277777777778,79.3220921121178,EIF4G1
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),3/1243,0.0428575229009325,0.0761568932124484,0,0,4.535564516129032,14.28645713352108,STAT2;BRD4;SMARCA4
GO_Biological_Process_2023,Skin Development (GO:0043588),1/68,0.0433219771034119,0.0764323453181624,0,0,24.776119402985078,77.77459794803441,ITGA3
GO_Biological_Process_2023,Cell-Cell Junction Assembly (GO:0007043),1/71,0.0451927319981768,0.0785629607220668,0,0,23.710714285714285,73.42779054088277,WDR1
GO_Biological_Process_2023,Negative Regulation Of Protein Binding (GO:0032091),1/71,0.0451927319981768,0.0785629607220668,0,0,23.710714285714285,73.42779054088277,PTPRF
GO_Biological_Process_2023,Cellular Response To Hypoxia (GO:0071456),1/72,0.0458155662055763,0.0785629607220668,0,0,23.37558685446009,72.0700051727417,LMNA
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),2/537,0.0461530526974834,0.0785629607220668,0,0,6.610705182667799,20.333155258396275,LMNA;SMARCA4
GO_Biological_Process_2023,Cellular Response To Decreased Oxygen Levels (GO:0036294),1/73,0.04643802536608,0.0785629607220668,0,0,23.04976851851852,70.7544140609547,LMNA
GO_Biological_Process_2023,Regulation Of Rho Protein Signal Transduction (GO:0035023),1/73,0.04643802536608,0.0785629607220668,0,0,23.04976851851852,70.7544140609547,ITGA3
GO_Biological_Process_2023,Regulation Of Cell Cycle G1/S Phase Transition (GO:1902806),1/74,0.0470601097064945,0.0790430160852412,0,0,22.732876712328768,69.47916318158998,SMARCA4
GO_Biological_Process_2023,Regulation Of BMP Signaling Pathway (GO:0030510),1/75,0.0476818194198418,0.0790430160852412,0,0,22.42454954954955,68.2425035090917,ITGA3
GO_Biological_Process_2023,Nucleosome Organization (GO:0034728),1/75,0.0476818194198418,0.0790430160852412,0,0,22.42454954954955,68.2425035090917,SMARCA4
GO_Biological_Process_2023,Actomyosin Structure Organization (GO:0031032),1/77,0.0489241158050175,0.0804593136002465,0,0,21.832236842105264,65.87844365768125,WDR1
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),2/557,0.0492974416619117,0.0804593136002465,0,0,6.365929565929566,19.16070376883968,BRD4;SMARCA4
GO_Biological_Process_2023,Cellular Response To Nutrient Levels (GO:0031669),1/78,0.0495447028828492,0.0804593136002465,0,0,21.547619047619047,64.74800798109044,EIF4G1
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Membrane (GO:1905477),1/79,0.0501649161718136,0.0804593136002465,0,0,21.270299145299145,63.650080736899376,ITGA3
GO_Biological_Process_2023,Response To Insulin (GO:0032868),1/79,0.0501649161718136,0.0804593136002465,0,0,21.270299145299145,63.650080736899376,SLC2A1
GO_Biological_Process_2023,Regulation Of Protein Localization To Plasma Membrane (GO:1903076),1/80,0.0507847558615241,0.0809279657922352,0,0,21.0,62.58334006884147,ITGA3
GO_Biological_Process_2023,Positive Regulation Of Growth (GO:0045927),1/81,0.0514042221710775,0.0813900184375394,0,0,20.73645833333333,61.54653341446361,EIF4G1
GO_Biological_Process_2023,Regulation Of Phosphorylation (GO:0042325),1/82,0.0520233153027185,0.0817772500466515,0,0,20.47942386831276,60.53847309097546,STAT2
GO_Biological_Process_2023,Epigenetic Regulation Of Gene Expression (GO:0040029),1/83,0.0526420354551319,0.0817772500466515,0,0,20.228658536585368,59.55803218916631,SMARCA4
GO_Biological_Process_2023,Vascular Transport (GO:0010232),1/83,0.0526420354551319,0.0817772500466515,0,0,20.228658536585368,59.55803218916631,SLC2A1
GO_Biological_Process_2023,Positive Regulation Of Double-Strand Break Repair (GO:2000781),1/84,0.0532603828402292,0.0818682015050246,0,0,19.983935742971887,58.60414077176453,SMARCA4
GO_Biological_Process_2023,Transport Across Blood-Brain Barrier (GO:0150104),1/85,0.0538783576585865,0.0818682015050246,0,0,19.745039682539684,57.67578236677708,SLC2A1
GO_Biological_Process_2023,Integrin-Mediated Signaling Pathway (GO:0007229),1/85,0.0538783576585865,0.0818682015050246,0,0,19.745039682539684,57.67578236677708,ITGA3
GO_Biological_Process_2023,Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990),1/86,0.0544959601278673,0.0818682015050246,0,0,19.511764705882356,56.77199069596926,SMARCA4
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),2/594,0.0553195827974387,0.0818682015050246,0,0,5.956695331695332,17.242418964023603,SMARCA4;EIF4G1
GO_Biological_Process_2023,Regulation Of Double-Strand Break Repair (GO:2000779),1/88,0.0557300488159362,0.0818682015050246,0,0,19.061302681992338,55.03447552600268,SMARCA4
GO_Biological_Process_2023,Negative Regulation Of Neuron Death (GO:1901215),1/88,0.0557300488159362,0.0818682015050246,0,0,19.061302681992338,55.03447552600268,EIF4G1
GO_Biological_Process_2023,Organic Anion Transport (GO:0015711),1/89,0.0563465354488023,0.0818682015050246,0,0,18.84375,54.19904429476309,SLC2A1
GO_Biological_Process_2023,Positive Regulation Of DNA Repair (GO:0045739),1/89,0.0563465354488023,0.0818682015050246,0,0,18.84375,54.19904429476309,SMARCA4
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),1/89,0.0563465354488023,0.0818682015050246,0,0,18.84375,54.19904429476309,EIF4G1
GO_Biological_Process_2023,Sensory Perception Of Mechanical Stimulus (GO:0050954),1/89,0.0563465354488023,0.0818682015050246,0,0,18.84375,54.19904429476309,WDR1
GO_Biological_Process_2023,Sensory Perception Of Sound (GO:0007605),1/92,0.0581937669386946,0.0840576633558922,0,0,18.21978021978022,51.81663638666002,WDR1
GO_Biological_Process_2023,Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135),1/93,0.0588087686569903,0.0844521270830035,0,0,18.02083333333333,51.06138805719774,EIF4G1
GO_Biological_Process_2023,Regulation Of Protein Metabolic Process (GO:0051246),1/96,0.0606515503312197,0.0863498332604112,0,0,17.449122807017545,48.903087500760165,EIF4G1
GO_Biological_Process_2023,Regulation Of Defense Response (GO:0031347),1/97,0.0612650704056327,0.0863498332604112,0,0,17.266493055555557,48.2174659702364,BRD4
GO_Biological_Process_2023,Phosphatidylinositol Biosynthetic Process (GO:0006661),1/98,0.0618782205955173,0.0863498332604112,0,0,17.087628865979383,47.54781410425205,MBOAT7
GO_Biological_Process_2023,Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334),1/98,0.0618782205955173,0.0863498332604112,0,0,17.087628865979383,47.54781410425205,EIF4G1
GO_Biological_Process_2023,Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162),1/98,0.0618782205955173,0.0863498332604112,0,0,17.087628865979383,47.54781410425205,SMARCA4
GO_Biological_Process_2023,Positive Regulation Of Cell Growth (GO:0030307),1/106,0.066770130249167,0.0910958810731965,0,0,15.77936507936508,42.70684291496826,EIF4G1
GO_Biological_Process_2023,Regulation Of Cellular Response To Stress (GO:0080135),1/107,0.0673799605392181,0.0910958810731965,0,0,15.629716981132075,42.15971778727455,EIF4G1
GO_Biological_Process_2023,Positive Regulation Of T Cell Activation (GO:0050870),1/107,0.0673799605392181,0.0910958810731965,0,0,15.629716981132075,42.15971778727455,SMARCA4
GO_Biological_Process_2023,Negative Regulation Of Translation (GO:0017148),1/107,0.0673799605392181,0.0910958810731965,0,0,15.629716981132075,42.15971778727455,EIF4G1
GO_Biological_Process_2023,Positive Regulation Of Metabolic Process (GO:0009893),1/108,0.0679894229711755,0.0910958810731965,0,0,15.482866043613708,41.62418553992519,SMARCA4
GO_Biological_Process_2023,Glycerophospholipid Biosynthetic Process (GO:0046474),1/108,0.0679894229711755,0.0910958810731965,0,0,15.482866043613708,41.62418553992519,MBOAT7
GO_Biological_Process_2023,Negative Regulation Of Developmental Process (GO:0051093),1/109,0.068598517731233,0.0910958810731965,0,0,15.338734567901234,41.09989925264156,SMARCA4
GO_Biological_Process_2023,Cell-Matrix Adhesion (GO:0007160),1/109,0.068598517731233,0.0910958810731965,0,0,15.338734567901234,41.09989925264156,ITGA3
GO_Biological_Process_2023,Positive Regulation Of Wnt Signaling Pathway (GO:0030177),1/109,0.068598517731233,0.0910958810731965,0,0,15.338734567901234,41.09989925264156,SMARCA4
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),1/111,0.069815605123331,0.0922163340399078,0,0,15.058333333333334,40.08374324378988,ITGA3
GO_Biological_Process_2023,Protein Localization To Nucleus (GO:0034504),1/122,0.0764833854144393,0.0999461810737443,0,0,13.681818181818182,35.17160025020979,LMNA
GO_Biological_Process_2023,Regulation Of Cell Motility (GO:2000145),1/123,0.0770873542947081,0.0999461810737443,0,0,13.568989071038253,34.77482268580042,LMNA
GO_Biological_Process_2023,Protein Dephosphorylation (GO:0006470),1/124,0.0776909585674449,0.0999461810737443,0,0,13.4579945799458,34.3853967516103,PTPRF
